qber_total,qber_z,qber_x,gain_mu,sifted_rate,qber_dispersion,jump_energy_norm,spectral_entropy,autocorr_lag1,y1_lower,e1_upper,r_secure,gain_ratio_nu_mu,h_qber,distance_km,eve_intensity,label
0.04118800784533483,0.040992854456562616,0.04138059009092596,0.01537511109649289,0.007655737083669691,1.1378846446517432,1.101483984307325,0.9116695148326638,0.0455858393520778,0.03160023158511865,0.0349913625864219,0.0013426589192605818,0.06821029065510413,0.2477128957902056,6.74086703940926,0.0,0
0.10647258079282249,0.1029875672666543,0.10986628117094326,0.015457757771557184,0.007802092700832638,1.0262459572440326,0.9828838032431043,0.8987829521690198,0.05512493379115377,0.029752984663648487,0.10292846531857171,0.0,0.064198911826364,0.4891836437736745,6.74086703940926,0.3099364246684455,1
0.03749419953596288,0.03997025469418108,0.03502594514455152,0.015458343748884048,0.007695604042424026,1.3302852534154268,1.2867896470860565,0.8509453091032194,0.04226336037945253,0.0071973909611066965,0.12215401353870134,0.0,0.023755397179130527,0.23068279826705512,6.74086703940926,0.7332773358452183,2
0.058823529411764705,0.04838709677419355,0.07017543859649122,0.00018848028489080638,8.495891629547711e-05,1.138426587981279,1.1102914033522824,0.9232744301407099,0.041432420086397005,0.0002690102417341583,0.0,2.8418492424114964e-06,0.0829236501888786,0.3227569588973982,98.15794047349938,0.0,0
0.24060150375939848,0.22972972972972974,0.2542372881355932,0.0001927324174498503,9.49385611882596e-05,1.03045840502542,1.1358599895869215,0.8729163799613053,-0.09828561497651744,0.0005830161419698028,0.2890773152946033,0.0,0.09469270449493153,0.7960391290505786,98.15794047349938,0.9918969051878506,1
0.05161290322580645,0.04285714285714286,0.058823529411764705,0.0002118799746314751,0.00011057709113763851,2.2762175341812823,2.4933025502389765,0.8923311434907535,-0.07816968541468063,0.0005291464587084823,0.2960755155638918,0.0,0.08006914173010508,0.29320934275200816,98.15794047349938,0.4091442687025779,2
0.02715724923346474,0.024652622142536978,0.02955032119914347,0.006487175293019322,0.0032614448786529647,0.7745417402654884,0.6573709566386193,0.8658492860363808,0.15187574488080888,0.010927640996807255,0.02164768769919366,0.0006664408887213187,0.0575388434920193,0.1799288415195635,24.98557992459496,0.0,0
0.09038418831889851,0.09360936093609361,0.08724243752740027,0.006444035480773627,0.003217016825933885,1.0726228585191684,1.015951598798362,0.8908979613261986,0.060492347034799936,0.01238860366658613,0.06260855057318739,0.0,0.06413512238482927,0.43775088923583466,24.98557992459496,0.2541022234495162,1
0.033789954337899546,0.03466906798739307,0.03288559518295507,0.006381037894471959,0.0031311837304265275,1.1568660180887085,1.2182861200750883,0.8805847829932736,-0.04150794975553148,0.004998309774555245,0.03784687888654928,0.0,0.0325610889840436,0.21305590924204232,24.98557992459496,0.5816077747057666,2
0.03278688524590164,0.008333333333333333,0.056451612903225805,0.00036529066700217175,0.00017442450635720138,0.9276604893472001,0.9224838613446193,0.889406743533755,0.019499375137837265,0.0007011085743257469,0.15408001484652253,0.0,0.06404713490929038,0.208180945557171,84.72254212738193,0.0,0
