qber_key,qber_zs,qber_zsr,ret_monitor,qber_zc,qber_xc,asymmetry,ctrl_sift_ratio,xctrl_dispersion,jump_energy,spectral_entropy,autocorr_lag1,h_ctrl,sifted_rate,distance_km,eve_fwd,eve_ret,label
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,0.0,3.4661976109059578e-09,0.27586206896551724,3.682039832441604,0.0,0.0,0
0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.5,nan,0.0,nan,0.0,0.41381685030363374,0.2857142857142857,3.682039832441604,0.1388990768809455,0.1388990768809455,1
0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,nan,0.0,nan,0.0,3.4661976109059578e-09,0.45,3.682039832441604,0.18163764869607177,0.4917608336475189,2
0.375,0.25,0.125,0.0,0.14285714285714285,0.0,0.125,0.2857142857142857,nan,0.0,0.0,0.0,0.37123232664087563,0.23529411764705882,0.8181295702938524,0.0,0.0,0
0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.0,0.09090909090909091,0.09090909090909091,0.25,0.9999999999999997,2.0,1.0,-0.1111111111111111,0.26676498780302604,0.2972972972972973,0.8181295702938524,0.1757883461190337,0.1757883461190337,1
0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.125,0.0,0.0,0.5625,nan,0.0,nan,0.0,0.3372900666170139,0.3103448275862069,0.8181295702938524,0.15707757021071622,0.33937013247456355,2
0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,71428571.42857142,1.0000000000000004,1.0,nan,0.0,0.37123232664087563,0.325,0.013300919570333747,0.0,0.0,0
0.08333333333333333,0.0,0.08333333333333333,0.0,0.1111111111111111,0.125,0.08333333333333333,118055555.55555555,1.0,1.0,1.0,0.0,0.52374567143314,0.3157894736842105,0.013300919570333747,0.10548358659970614,0.10548358659970614,1
0.16666666666666666,0.0,0.16666666666666666,0.2,0.1111111111111111,0.25,0.16666666666666666,180555555.55555555,1.0,4.0,0.7984806893213606,0.08333333333333333,0.6812908868842176,0.3157894736842105,0.013300919570333747,0.08817389610658422,0.4236682957559731,2
0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,nan,0.0,nan,nan,3.4661976109059578e-09,0.3333333333333333,3.682849928141491,0.0,0.0,0
0.16666666666666666,0.16666666666666666,0.0,0.2,0.0,0.2222222222222222,0.16666666666666666,0.6666666666666666,1.0,4.0,0.7642697788839778,-0.3333333333333333,0.5032583347756457,0.3157894736842105,3.682849928141491,0.29555249805170036,0.29555249805170036,1
0.0,0.0,0.0,0.4,0.2,0.125,0.0,162500000.0,1.0,2.0,1.0,-0.16666666666666663,0.6402569436810504,0.25,3.682849928141491,0.15896957595804348,0.29924820267968544,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,3.4661976109059578e-09,0.20588235294117646,0.019661081553490334,0.0,0.0,0
0.23076923076923078,0.15384615384615385,0.23076923076923078,0.1,0.16666666666666666,0.36363636363636365,0.07692307692307693,1.7234848484848484,1.0,5.0,0.778384730780508,-0.0890870806374748,0.8344210035612927,0.325,0.019661081553490334,0.3214737200364481,0.3214737200364481,1
0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,nan,0.0,nan,0.0,3.4661976109059578e-09,0.1702127659574468,0.019661081553490334,0.07573364632186011,0.3249849292570192,2
0.0,0.0,0.0,0.0,0.0,0.5,0.0,249999999.99999997,nan,1.0,nan,nan,0.8112781244591328,0.1,13.12916519751295,0.0,0.0,0
0.5,0.0,0.5,0.0,0.0,0.5,0.5,249999999.99999997,nan,1.0,nan,nan,0.8112781244591328,0.25,13.12916519751295,0.3329638715969071,0.3329638715969071,1
0.75,0.75,0.0,0.0,0.5,0.0,0.75,0.3333333333333333,nan,0.0,nan,nan,0.8112781244591328,0.5,13.12916519751295,0.10821474399598466,0.23767775622369303,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,3.4661976109059578e-09,0.8,14.00087840220916,0.0,0.0,0
0.5,0.25,0.25,0.0,0.0,0.25,0.0,0.5,1.0,2.0,nan,-0.5,0.5435644431995964,0.2857142857142857,14.00087840220916,0.1230832520195453,0.1230832520195453,1
0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.25,0.3333333333333333,124999999.99999999,1.0,1.0,nan,0.0,0.5435644431995964,0.21428571428571427,14.00087840220916,0.17761744277653185,0.3506421128785263,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,0.0,3.4661976109059578e-09,0.25,11.845220744099043,0.0,0.0,0
0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.5,nan,0.0,nan,0.0,0.5435644431995964,0.3333333333333333,11.845220744099043,0.09532621150249909,0.09532621150249909,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,3.4661976109059578e-09,0.25,11.845220744099043,0.06338370196453388,0.30575420282903043,2
0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,nan,0.0,nan,0.0,3.4661976109059578e-09,0.3125,7.7231928317412315,0.0,0.0,0
0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0,nan,0.0,nan,0.0,3.4661976109059578e-09,0.23809523809523808,7.7231928317412315,0.17458740741969092,0.17458740741969092,1
0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,nan,0.0,nan,0.0,3.4661976109059578e-09,0.21428571428571427,7.7231928317412315,0.1809273412369289,0.5641310706137429,2
0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,nan,0.0,nan,0.0,3.4661976109059578e-09,0.25,9.494352419316959,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,0.0,3.4661976109059578e-09,0.4117647058823529,9.494352419316959,0.1373599880599322,0.1373599880599322,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,3.4661976109059578e-09,0.4,9.494352419316959,0.13553494560309712,0.3520881032834194,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,0.0,3.4661976109059578e-09,0.3684210526315789,6.25742685598718,0.0,0.0,0
0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.0,0.2,0.16666666666666666,0.6000000000000001,1.0000000000000002,2.0,nan,-0.3333333333333333,0.4689955935892812,0.42857142857142855,6.25742685598718,0.13285864111109422,0.13285864111109422,1
0.4,0.0,0.4,0.14285714285714285,0.0,0.4444444444444444,0.4,222222222.2222222,1.0000000000000002,3.0,0.875756643593441,0.2581988897471611,0.7642045065086203,0.18518518518518517,6.25742685598718,0.041447683247971434,0.5681415447134583,2
0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.1111111111111111,0.14285714285714285,0.3888888888888889,1.0,2.0,1.0,-0.14285714285714285,0.3095434291503252,0.23333333333333334,3.1781612115429096,0.0,0.0,0
0.2222222222222222,0.2222222222222222,0.0,0.0,0.2,0.0,0.2222222222222222,0.45000000000000007,nan,0.0,nan,0.0,0.4689955935892812,0.36,3.1781612115429096,0.32228754658659836,0.32228754658659836,1
0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,nan,0.0,0.0,0.0,3.4661976109059578e-09,0.2222222222222222,3.1781612115429096,0.11969199639956957,0.45613868992906975,2
0.0,0.0,0.0,0.0,0.0,0.125,0.0,62499999.99999999,1.0,2.0,1.0,-0.16666666666666663,0.3372900666170139,0.2727272727272727,4.8938694424059435,0.0,0.0,0
0.2,0.0,0.2,0.25,0.0,0.16666666666666666,0.2,83333333.33333333,1.0000000000000002,2.0,nan,-0.24999999999999994,0.41381685030363374,0.25,4.8938694424059435,0.3457281265671776,0.3457281265671776,1
0.5,0.0,0.5,0.16666666666666666,0.16666666666666666,0.0,0.5,83333333.33333333,nan,0.0,nan,0.0,0.41381685030363374,0.2727272727272727,4.8938694424059435,0.15801187738813863,0.5039728406679125,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,3.4661976109059578e-09,0.3076923076923077,12.069272877143483,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,3.4661976109059578e-09,0.375,12.069272877143483,0.3668574651289316,0.3668574651289316,1
0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666,166666666.66666666,nan,1.0,nan,0.0,0.6500224216483541,0.375,12.069272877143483,0.16707492868865145,0.4228340614829788,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,0.0,3.4661976109059578e-09,0.15384615384615385,8.45482014406283,0.0,0.0,0
0.0,0.0,0.0,0.16666666666666666,0.5,0.375,0.0,437500000.0,1.0,5.0,0.603759374819711,-0.5477225575051661,0.9886994082884974,0.1111111111111111,8.45482014406283,0.2959786078158045,0.2959786078158045,1
0.4,0.4,0.4,0.0,0.25,0.0,0.0,0.3125,nan,0.0,nan,0.0,0.5435644431995964,0.35714285714285715,8.45482014406283,0.13524292054247486,0.33414691176361455,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,0.0,3.4661976109059578e-09,0.35714285714285715,9.396559220286091,0.0,0.0,0
1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,3.4661976109059578e-09,0.2,9.396559220286091,0.33238406054348696,0.33238406054348696,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,0.0,3.4661976109059578e-09,0.21052631578947367,9.396559220286091,0.023100985311245898,0.5065867488226514,2
0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.0,nan,0.0,nan,0.0,3.4661976109059578e-09,0.34782608695652173,6.528878373749196,0.0,0.0,0
0.0,0.0,0.0,0.0,0.2,0.0,0.0,100000000.0,nan,0.0,nan,nan,0.4689955935892812,0.3,6.528878373749196,0.155466563625978,0.155466563625978,1
0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1,0.0,0.16666666666666666,0.0,0.75,1.0000000000000002,2.0,nan,-0.24999999999999997,0.41381685030363374,0.2727272727272727,6.528878373749196,0.11797860916319829,0.3802478192115135,2
0.0,0.0,0.0,0.0,0.1111111111111111,0.125,0.0,118055555.55555555,1.0,2.0,1.0,-0.16666666666666666,0.52374567143314,0.2,2.332673694442419,0.0,0.0,0
0.4,0.4,0.4,0.0,0.0,0.375,0.0,0.46875,1.0,4.0,0.7743974703476992,-0.16666666666666669,0.6962122601251458,0.1724137931034483,2.332673694442419,0.39427414022797536,0.39427414022797536,1
0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.0,nan,0.0,0.0,0.0,3.4661976109059578e-09,0.2222222222222222,2.332673694442419,0.10889523544067091,0.24226974620682565,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,3.4661976109059578e-09,0.42857142857142855,12.722115296120268,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,0.0,3.4661976109059578e-09,0.4375,12.722115296120268,0.17862315692825242,0.17862315692825242,1
0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,nan,0.0,nan,0.0,3.4661976109059578e-09,0.15384615384615385,12.722115296120268,0.18511524013971117,0.24335767253583396,2
0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,83333333.33333333,nan,0.0,0.0,0.0,0.41381685030363374,0.16666666666666666,9.679442017152557,0.0,0.0,0
0.16666666666666666,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,2.0,nan,0.0,nan,nan,0.9182958340544896,0.5,9.679442017152557,0.19516332626929944,0.19516332626929944,1
0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,nan,0.0,nan,0.0,3.4661976109059578e-09,0.3333333333333333,9.679442017152557,0.08223884097462077,0.30043676866732116,2
0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,nan,0.0,nan,0.0,3.4661976109059578e-09,0.2857142857142857,14.66031593674568,0.0,0.0,0
0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,nan,0.0,nan,0.0,3.4661976109059578e-09,0.4,14.66031593674568,0.31117674299987813,0.31117674299987813,1
1.0,1.0,0.0,0.0,0.3333333333333333,0.6,1.0,0.4666666666666667,1.0000000000000002,2.0,nan,-0.3333333333333333,0.9967916319816366,0.1,14.66031593674568,0.19044888912485256,0.3884721338448691,2
0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,nan,0.0,nan,0.0,3.4661976109059578e-09,0.26666666666666666,8.740439181256203,0.0,0.0,0
0.0,0.0,0.0,0.0,0.16666666666666666,0.2,0.0,183333333.33333334,1.0000000000000002,2.0,nan,-0.3333333333333333,0.6873150928309273,0.2631578947368421,8.740439181256203,0.2956878310577834,0.2956878310577834,1
0.0,0.0,0.0,0.2,0.3333333333333333,0.0,0.0,166666666.66666666,nan,0.0,0.0,0.0,0.6500224216483541,0.15789473684210525,8.740439181256203,0.10131324816864287,0.5304175129092641,2
0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.1111111111111111,0.0,0.0,0.3888888888888889,nan,0.0,nan,0.0,0.3095434291503252,0.2692307692307692,6.973465627082128,0.0,0.0,0
0.0,0.0,0.0,0.25,0.0,0.25,0.0,124999999.99999999,1.0,3.0,0.9463946303571861,-0.25819888974716115,0.5435644431995964,0.27586206896551724,6.973465627082128,0.12960186057299888,0.12960186057299888,1
0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,71428571.42857142,1.0000000000000002,1.0,nan,0.0,0.37123232664087563,0.28,6.973465627082128,0.17005157901099008,0.5192979278261698,2
0.2,0.2,0.0,0.0,0.125,0.0,0.2,0.3125,nan,0.0,0.0,0.0,0.3372900666170139,0.20408163265306123,0.29014467811261824,0.0,0.0,0
